# `n`             a positive integer
# `factorization` the prime factorization of n, including exponents
# `primeness`     notes if n is a prime, prime power, radical, radical power, or primorial
# `m*`            the prime residues of n modulo a set of primes

    n, factorization, primeness,      m3, m5, m7, m11, m13, m17, m19, m23, m29, m31
 4451, 4451,          prime,          2,  1,  6,  7,   5,   14,  5,   12,  14,  18
 4452, 2² 3 7 53,     ,               0,  2,  0,  8,   6,   15,  6,   13,  15,  19
 4453, 61 73,         radical,        1,  3,  1,  9,   7,   16,  7,   14,  16,  20
 4454, 2 17 131,      radical,        2,  4,  2,  10,  8,   0,   8,   15,  17,  21
 4455, 3⁴ 5 11,       ,               0,  0,  3,  0,   9,   1,   9,   16,  18,  22
 4456, 2³ 557,        ,               1,  1,  4,  1,   10,  2,   10,  17,  19,  23
 4457, 4457,          prime,          2,  2,  5,  2,   11,  3,   11,  18,  20,  24
 4458, 2 3 743,       radical,        0,  3,  6,  3,   12,  4,   12,  19,  21,  25
 4459, 7³ 13,         ,               1,  4,  0,  4,   0,   5,   13,  20,  22,  26
 4460, 2² 5 223,      ,               2,  0,  1,  5,   1,   6,   14,  21,  23,  27
 4461, 3 1487,        radical,        0,  1,  2,  6,   2,   7,   15,  22,  24,  28
 4462, 2 23 97,       radical,        1,  2,  3,  7,   3,   8,   16,  0,   25,  29
 4463, 4463,          prime,          2,  3,  4,  8,   4,   9,   17,  1,   26,  30
 4464, 2⁴ 3² 31,      ,               0,  4,  5,  9,   5,   10,  18,  2,   27,  0
 4465, 5 19 47,       radical,        1,  0,  6,  10,  6,   11,  0,   3,   28,  1
 4466, 2 7 11 29,     radical,        2,  1,  0,  0,   7,   12,  1,   4,   0,   2
 4467, 3 1489,        radical,        0,  2,  1,  1,   8,   13,  2,   5,   1,   3
 4468, 2² 1117,       ,               1,  3,  2,  2,   9,   14,  3,   6,   2,   4
 4469, 41 109,        radical,        2,  4,  3,  3,   10,  15,  4,   7,   3,   5
 4470, 2 3 5 149,     radical,        0,  0,  4,  4,   11,  16,  5,   8,   4,   6
 4471, 17 263,        radical,        1,  1,  5,  5,   12,  0,   6,   9,   5,   7
 4472, 2³ 13 43,      ,               2,  2,  6,  6,   0,   1,   7,   10,  6,   8
 4473, 3² 7 71,       ,               0,  3,  0,  7,   1,   2,   8,   11,  7,   9
 4474, 2 2237,        radical,        1,  4,  1,  8,   2,   3,   9,   12,  8,   10
 4475, 5² 179,        ,               2,  0,  2,  9,   3,   4,   10,  13,  9,   11
 4476, 2² 3 373,      ,               0,  1,  3,  10,  4,   5,   11,  14,  10,  12
 4477, 11² 37,        ,               1,  2,  4,  0,   5,   6,   12,  15,  11,  13
 4478, 2 2239,        radical,        2,  3,  5,  1,   6,   7,   13,  16,  12,  14
 4479, 3 1493,        radical,        0,  4,  6,  2,   7,   8,   14,  17,  13,  15
 4480, 2⁷ 5 7,        ,               1,  0,  0,  3,   8,   9,   15,  18,  14,  16
 4481, 4481,          prime,          2,  1,  1,  4,   9,   10,  16,  19,  15,  17
 4482, 2 3³ 83,       ,               0,  2,  2,  5,   10,  11,  17,  20,  16,  18
 4483, 4483,          prime,          1,  3,  3,  6,   11,  12,  18,  21,  17,  19
 4484, 2² 19 59,      ,               2,  4,  4,  7,   12,  13,  0,   22,  18,  20
 4485, 3 5 13 23,     radical,        0,  0,  5,  8,   0,   14,  1,   0,   19,  21
 4486, 2 2243,        radical,        1,  1,  6,  9,   1,   15,  2,   1,   20,  22
 4487, 7 641,         radical,        2,  2,  0,  10,  2,   16,  3,   2,   21,  23
 4488, 2³ 3 11 17,    ,               0,  3,  1,  0,   3,   0,   4,   3,   22,  24
 4489, 67²,           prime power,    1,  4,  2,  1,   4,   1,   5,   4,   23,  25
 4490, 2 5 449,       radical,        2,  0,  3,  2,   5,   2,   6,   5,   24,  26
 4491, 3² 499,        ,               0,  1,  4,  3,   6,   3,   7,   6,   25,  27
 4492, 2² 1123,       ,               1,  2,  5,  4,   7,   4,   8,   7,   26,  28
 4493, 4493,          prime,          2,  3,  6,  5,   8,   5,   9,   8,   27,  29
 4494, 2 3 7 107,     radical,        0,  4,  0,  6,   9,   6,   10,  9,   28,  30
 4495, 5 29 31,       radical,        1,  0,  1,  7,   10,  7,   11,  10,  0,   0
 4496, 2⁴ 281,        ,               2,  1,  2,  8,   11,  8,   12,  11,  1,   1
 4497, 3 1499,        radical,        0,  2,  3,  9,   12,  9,   13,  12,  2,   2
 4498, 2 13 173,      radical,        1,  3,  4,  10,  0,   10,  14,  13,  3,   3
 4499, 11 409,        radical,        2,  4,  5,  0,   1,   11,  15,  14,  4,   4
 4500, 2² 3² 5³,      ,               0,  0,  6,  1,   2,   12,  16,  15,  5,   5
 4501, 7 643,         radical,        1,  1,  0,  2,   3,   13,  17,  16,  6,   6
 4502, 2 2251,        radical,        2,  2,  1,  3,   4,   14,  18,  17,  7,   7
 4503, 3 19 79,       radical,        0,  3,  2,  4,   5,   15,  0,   18,  8,   8
 4504, 2³ 563,        ,               1,  4,  3,  5,   6,   16,  1,   19,  9,   9
 4505, 5 17 53,       radical,        2,  0,  4,  6,   7,   0,   2,   20,  10,  10
 4506, 2 3 751,       radical,        0,  1,  5,  7,   8,   1,   3,   21,  11,  11
 4507, 4507,          prime,          1,  2,  6,  8,   9,   2,   4,   22,  12,  12
 4508, 2² 7² 23,      ,               2,  3,  0,  9,   10,  3,   5,   0,   13,  13
 4509, 3³ 167,        ,               0,  4,  1,  10,  11,  4,   6,   1,   14,  14
 4510, 2 5 11 41,     radical,        1,  0,  2,  0,   12,  5,   7,   2,   15,  15
 4511, 13 347,        radical,        2,  1,  3,  1,   0,   6,   8,   3,   16,  16
 4512, 2⁵ 3 47,       ,               0,  2,  4,  2,   1,   7,   9,   4,   17,  17
 4513, 4513,          prime,          1,  3,  5,  3,   2,   8,   10,  5,   18,  18
 4514, 2 37 61,       radical,        2,  4,  6,  4,   3,   9,   11,  6,   19,  19
 4515, 3 5 7 43,      radical,        0,  0,  0,  5,   4,   10,  12,  7,   20,  20
 4516, 2² 1129,       ,               1,  1,  1,  6,   5,   11,  13,  8,   21,  21
 4517, 4517,          prime,          2,  2,  2,  7,   6,   12,  14,  9,   22,  22
 4518, 2 3² 251,      ,               0,  3,  3,  8,   7,   13,  15,  10,  23,  23
 4519, 4519,          prime,          1,  4,  4,  9,   8,   14,  16,  11,  24,  24
 4520, 2³ 5 113,      ,               2,  0,  5,  10,  9,   15,  17,  12,  25,  25
 4521, 3 11 137,      radical,        0,  1,  6,  0,   10,  16,  18,  13,  26,  26
 4522, 2 7 17 19,     radical,        1,  2,  0,  1,   11,  0,   0,   14,  27,  27
 4523, 4523,          prime,          2,  3,  1,  2,   12,  1,   1,   15,  28,  28
 4524, 2² 3 13 29,    ,               0,  4,  2,  3,   0,   2,   2,   16,  0,   29
 4525, 5² 181,        ,               1,  0,  3,  4,   1,   3,   3,   17,  1,   30
 4526, 2 31 73,       radical,        2,  1,  4,  5,   2,   4,   4,   18,  2,   0
 4527, 3² 503,        ,               0,  2,  5,  6,   3,   5,   5,   19,  3,   1
 4528, 2⁴ 283,        ,               1,  3,  6,  7,   4,   6,   6,   20,  4,   2
 4529, 7 647,         radical,        2,  4,  0,  8,   5,   7,   7,   21,  5,   3
 4530, 2 3 5 151,     radical,        0,  0,  1,  9,   6,   8,   8,   22,  6,   4
 4531, 23 197,        radical,        1,  1,  2,  10,  7,   9,   9,   0,   7,   5
 4532, 2² 11 103,     ,               2,  2,  3,  0,   8,   10,  10,  1,   8,   6
 4533, 3 1511,        radical,        0,  3,  4,  1,   9,   11,  11,  2,   9,   7
 4534, 2 2267,        radical,        1,  4,  5,  2,   10,  12,  12,  3,   10,  8
 4535, 5 907,         radical,        2,  0,  6,  3,   11,  13,  13,  4,   11,  9
 4536, 2³ 3⁴ 7,       ,               0,  1,  0,  4,   12,  14,  14,  5,   12,  10
 4537, 13 349,        radical,        1,  2,  1,  5,   0,   15,  15,  6,   13,  11
 4538, 2 2269,        radical,        2,  3,  2,  6,   1,   16,  16,  7,   14,  12
 4539, 3 17 89,       radical,        0,  4,  3,  7,   2,   0,   17,  8,   15,  13
 4540, 2² 5 227,      ,               1,  0,  4,  8,   3,   1,   18,  9,   16,  14
 4541, 19 239,        radical,        2,  1,  5,  9,   4,   2,   0,   10,  17,  15
 4542, 2 3 757,       radical,        0,  2,  6,  10,  5,   3,   1,   11,  18,  16
 4543, 7 11 59,       radical,        1,  3,  0,  0,   6,   4,   2,   12,  19,  17
 4544, 2⁶ 71,         ,               2,  4,  1,  1,   7,   5,   3,   13,  20,  18
 4545, 3² 5 101,      ,               0,  0,  2,  2,   8,   6,   4,   14,  21,  19
 4546, 2 2273,        radical,        1,  1,  3,  3,   9,   7,   5,   15,  22,  20
 4547, 4547,          prime,          2,  2,  4,  4,   10,  8,   6,   16,  23,  21
 4548, 2² 3 379,      ,               0,  3,  5,  5,   11,  9,   7,   17,  24,  22
 4549, 4549,          prime,          1,  4,  6,  6,   12,  10,  8,   18,  25,  23
 4550, 2 5² 7 13,     ,               2,  0,  0,  7,   0,   11,  9,   19,  26,  24
 4551, 3 37 41,       radical,        0,  1,  1,  8,   1,   12,  10,  20,  27,  25
 4552, 2³ 569,        ,               1,  2,  2,  9,   2,   13,  11,  21,  28,  26
 4553, 29 157,        radical,        2,  3,  3,  10,  3,   14,  12,  22,  0,   27
 4554, 2 3² 11 23,    ,               0,  4,  4,  0,   4,   15,  13,  0,   1,   28
 4555, 5 911,         radical,        1,  0,  5,  1,   5,   16,  14,  1,   2,   29
 4556, 2² 17 67,      ,               2,  1,  6,  2,   6,   0,   15,  2,   3,   30
 4557, 3 7² 31,       ,               0,  2,  0,  3,   7,   1,   16,  3,   4,   0
 4558, 2 43 53,       radical,        1,  3,  1,  4,   8,   2,   17,  4,   5,   1
 4559, 47 97,         radical,        2,  4,  2,  5,   9,   3,   18,  5,   6,   2
 4560, 2⁴ 3 5 19,     ,               0,  0,  3,  6,   10,  4,   0,   6,   7,   3
 4561, 4561,          prime,          1,  1,  4,  7,   11,  5,   1,   7,   8,   4
 4562, 2 2281,        radical,        2,  2,  5,  8,   12,  6,   2,   8,   9,   5
 4563, 3³ 13²,        ,               0,  3,  6,  9,   0,   7,   3,   9,   10,  6
 4564, 2² 7 163,      ,               1,  4,  0,  10,  1,   8,   4,   10,  11,  7
 4565, 5 11 83,       radical,        2,  0,  1,  0,   2,   9,   5,   11,  12,  8
 4566, 2 3 761,       radical,        0,  1,  2,  1,   3,   10,  6,   12,  13,  9
 4567, 4567,          prime,          1,  2,  3,  2,   4,   11,  7,   13,  14,  10
 4568, 2³ 571,        ,               2,  3,  4,  3,   5,   12,  8,   14,  15,  11
 4569, 3 1523,        radical,        0,  4,  5,  4,   6,   13,  9,   15,  16,  12
 4570, 2 5 457,       radical,        1,  0,  6,  5,   7,   14,  10,  16,  17,  13
 4571, 7 653,         radical,        2,  1,  0,  6,   8,   15,  11,  17,  18,  14
 4572, 2² 3² 127,     ,               0,  2,  1,  7,   9,   16,  12,  18,  19,  15
 4573, 17 269,        radical,        1,  3,  2,  8,   10,  0,   13,  19,  20,  16
 4574, 2 2287,        radical,        2,  4,  3,  9,   11,  1,   14,  20,  21,  17
 4575, 3 5² 61,       ,               0,  0,  4,  10,  12,  2,   15,  21,  22,  18
 4576, 2⁵ 11 13,      ,               1,  1,  5,  0,   0,   3,   16,  22,  23,  19
 4577, 23 199,        radical,        2,  2,  6,  1,   1,   4,   17,  0,   24,  20
 4578, 2 3 7 109,     radical,        0,  3,  0,  2,   2,   5,   18,  1,   25,  21
 4579, 19 241,        radical,        1,  4,  1,  3,   3,   6,   0,   2,   26,  22
 4580, 2² 5 229,      ,               2,  0,  2,  4,   4,   7,   1,   3,   27,  23
 4581, 3² 509,        ,               0,  1,  3,  5,   5,   8,   2,   4,   28,  24
 4582, 2 29 79,       radical,        1,  2,  4,  6,   6,   9,   3,   5,   0,   25
 4583, 4583,          prime,          2,  3,  5,  7,   7,   10,  4,   6,   1,   26
 4584, 2³ 3 191,      ,               0,  4,  6,  8,   8,   11,  5,   7,   2,   27
 4585, 5 7 131,       radical,        1,  0,  0,  9,   9,   12,  6,   8,   3,   28
 4586, 2 2293,        radical,        2,  1,  1,  10,  10,  13,  7,   9,   4,   29
 4587, 3 11 139,      radical,        0,  2,  2,  0,   11,  14,  8,   10,  5,   30
 4588, 2² 31 37,      ,               1,  3,  3,  1,   12,  15,  9,   11,  6,   0
 4589, 13 353,        radical,        2,  4,  4,  2,   0,   16,  10,  12,  7,   1
 4590, 2 3³ 5 17,     ,               0,  0,  5,  3,   1,   0,   11,  13,  8,   2
 4591, 4591,          prime,          1,  1,  6,  4,   2,   1,   12,  14,  9,   3
 4592, 2⁴ 7 41,       ,               2,  2,  0,  5,   3,   2,   13,  15,  10,  4
 4593, 3 1531,        radical,        0,  3,  1,  6,   4,   3,   14,  16,  11,  5
 4594, 2 2297,        radical,        1,  4,  2,  7,   5,   4,   15,  17,  12,  6
 4595, 5 919,         radical,        2,  0,  3,  8,   6,   5,   16,  18,  13,  7
 4596, 2² 3 383,      ,               0,  1,  4,  9,   7,   6,   17,  19,  14,  8
 4597, 4597,          prime,          1,  2,  5,  10,  8,   7,   18,  20,  15,  9
 4598, 2 11² 19,      ,               2,  3,  6,  0,   9,   8,   0,   21,  16,  10
 4599, 3² 7 73,       ,               0,  4,  0,  1,   10,  9,   1,   22,  17,  11
 4600, 2³ 5² 23,      ,               1,  0,  1,  2,   11,  10,  2,   0,   18,  12
 4601, 43 107,        radical,        2,  1,  2,  3,   12,  11,  3,   1,   19,  13
 4602, 2 3 13 59,     radical,        0,  2,  3,  4,   0,   12,  4,   2,   20,  14
 4603, 4603,          prime,          1,  3,  4,  5,   1,   13,  5,   3,   21,  15
 4604, 2² 1151,       ,               2,  4,  5,  6,   2,   14,  6,   4,   22,  16
 4605, 3 5 307,       radical,        0,  0,  6,  7,   3,   15,  7,   5,   23,  17
 4606, 2 7² 47,       ,               1,  1,  0,  8,   4,   16,  8,   6,   24,  18
 4607, 17 271,        radical,        2,  2,  1,  9,   5,   0,   9,   7,   25,  19
 4608, 2⁹ 3²,         ,               0,  3,  2,  10,  6,   1,   10,  8,   26,  20
 4609, 11 419,        radical,        1,  4,  3,  0,   7,   2,   11,  9,   27,  21
 4610, 2 5 461,       radical,        2,  0,  4,  1,   8,   3,   12,  10,  28,  22
 4611, 3 29 53,       radical,        0,  1,  5,  2,   9,   4,   13,  11,  0,   23
 4612, 2² 1153,       ,               1,  2,  6,  3,   10,  5,   14,  12,  1,   24
 4613, 7 659,         radical,        2,  3,  0,  4,   11,  6,   15,  13,  2,   25
 4614, 2 3 769,       radical,        0,  4,  1,  5,   12,  7,   16,  14,  3,   26
 4615, 5 13 71,       radical,        1,  0,  2,  6,   0,   8,   17,  15,  4,   27
 4616, 2³ 577,        ,               2,  1,  3,  7,   1,   9,   18,  16,  5,   28
 4617, 3⁵ 19,         ,               0,  2,  4,  8,   2,   10,  0,   17,  6,   29
 4618, 2 2309,        radical,        1,  3,  5,  9,   3,   11,  1,   18,  7,   30
 4619, 31 149,        radical,        2,  4,  6,  10,  4,   12,  2,   19,  8,   0
 4620, 2² 3 5 7 11,   ,               0,  0,  0,  0,   5,   13,  3,   20,  9,   1
 4621, 4621,          prime,          1,  1,  1,  1,   6,   14,  4,   21,  10,  2
 4622, 2 2311,        radical,        2,  2,  2,  2,   7,   15,  5,   22,  11,  3
 4623, 3 23 67,       radical,        0,  3,  3,  3,   8,   16,  6,   0,   12,  4
 4624, 2⁴ 17²,        ,               1,  4,  4,  4,   9,   0,   7,   1,   13,  5
 4625, 5³ 37,         ,               2,  0,  5,  5,   10,  1,   8,   2,   14,  6
 4626, 2 3² 257,      ,               0,  1,  6,  6,   11,  2,   9,   3,   15,  7
 4627, 7 661,         radical,        1,  2,  0,  7,   12,  3,   10,  4,   16,  8
 4628, 2² 13 89,      ,               2,  3,  1,  8,   0,   4,   11,  5,   17,  9
 4629, 3 1543,        radical,        0,  4,  2,  9,   1,   5,   12,  6,   18,  10
 4630, 2 5 463,       radical,        1,  0,  3,  10,  2,   6,   13,  7,   19,  11
 4631, 11 421,        radical,        2,  1,  4,  0,   3,   7,   14,  8,   20,  12
 4632, 2³ 3 193,      ,               0,  2,  5,  1,   4,   8,   15,  9,   21,  13
 4633, 41 113,        radical,        1,  3,  6,  2,   5,   9,   16,  10,  22,  14
 4634, 2 7 331,       radical,        2,  4,  0,  3,   6,   10,  17,  11,  23,  15
 4635, 3² 5 103,      ,               0,  0,  1,  4,   7,   11,  18,  12,  24,  16
 4636, 2² 19 61,      ,               1,  1,  2,  5,   8,   12,  0,   13,  25,  17
 4637, 4637,          prime,          2,  2,  3,  6,   9,   13,  1,   14,  26,  18
 4638, 2 3 773,       radical,        0,  3,  4,  7,   10,  14,  2,   15,  27,  19
 4639, 4639,          prime,          1,  4,  5,  8,   11,  15,  3,   16,  28,  20
 4640, 2⁵ 5 29,       ,               2,  0,  6,  9,   12,  16,  4,   17,  0,   21
 4641, 3 7 13 17,     radical,        0,  1,  0,  10,  0,   0,   5,   18,  1,   22
 4642, 2 11 211,      radical,        1,  2,  1,  0,   1,   1,   6,   19,  2,   23
 4643, 4643,          prime,          2,  3,  2,  1,   2,   2,   7,   20,  3,   24
 4644, 2² 3³ 43,      ,               0,  4,  3,  2,   3,   3,   8,   21,  4,   25
 4645, 5 929,         radical,        1,  0,  4,  3,   4,   4,   9,   22,  5,   26
 4646, 2 23 101,      radical,        2,  1,  5,  4,   5,   5,   10,  0,   6,   27
 4647, 3 1549,        radical,        0,  2,  6,  5,   6,   6,   11,  1,   7,   28
 4648, 2³ 7 83,       ,               1,  3,  0,  6,   7,   7,   12,  2,   8,   29
 4649, 4649,          prime,          2,  4,  1,  7,   8,   8,   13,  3,   9,   30
 4650, 2 3 5² 31,     ,               0,  0,  2,  8,   9,   9,   14,  4,   10,  0
 4651, 4651,          prime,          1,  1,  3,  9,   10,  10,  15,  5,   11,  1
 4652, 2² 1163,       ,               2,  2,  4,  10,  11,  11,  16,  6,   12,  2
 4653, 3² 11 47,      ,               0,  3,  5,  0,   12,  12,  17,  7,   13,  3
 4654, 2 13 179,      radical,        1,  4,  6,  1,   0,   13,  18,  8,   14,  4
 4655, 5 7² 19,       ,               2,  0,  0,  2,   1,   14,  0,   9,   15,  5
 4656, 2⁴ 3 97,       ,               0,  1,  1,  3,   2,   15,  1,   10,  16,  6
 4657, 4657,          prime,          1,  2,  2,  4,   3,   16,  2,   11,  17,  7
 4658, 2 17 137,      radical,        2,  3,  3,  5,   4,   0,   3,   12,  18,  8
 4659, 3 1553,        radical,        0,  4,  4,  6,   5,   1,   4,   13,  19,  9
 4660, 2² 5 233,      ,               1,  0,  5,  7,   6,   2,   5,   14,  20,  10
 4661, 59 79,         radical,        2,  1,  6,  8,   7,   3,   6,   15,  21,  11
 4662, 2 3² 7 37,     ,               0,  2,  0,  9,   8,   4,   7,   16,  22,  12
 4663, 4663,          prime,          1,  3,  1,  10,  9,   5,   8,   17,  23,  13
 4664, 2³ 11 53,      ,               2,  4,  2,  0,   10,  6,   9,   18,  24,  14
 4665, 3 5 311,       radical,        0,  0,  3,  1,   11,  7,   10,  19,  25,  15
 4666, 2 2333,        radical,        1,  1,  4,  2,   12,  8,   11,  20,  26,  16
 4667, 13 359,        radical,        2,  2,  5,  3,   0,   9,   12,  21,  27,  17
 4668, 2² 3 389,      ,               0,  3,  6,  4,   1,   10,  13,  22,  28,  18
 4669, 7 23 29,       radical,        1,  4,  0,  5,   2,   11,  14,  0,   0,   19
 4670, 2 5 467,       radical,        2,  0,  1,  6,   3,   12,  15,  1,   1,   20
 4671, 3³ 173,        ,               0,  1,  2,  7,   4,   13,  16,  2,   2,   21
 4672, 2⁶ 73,         ,               1,  2,  3,  8,   5,   14,  17,  3,   3,   22
 4673, 4673,          prime,          2,  3,  4,  9,   6,   15,  18,  4,   4,   23
 4674, 2 3 19 41,     radical,        0,  4,  5,  10,  7,   16,  0,   5,   5,   24
 4675, 5² 11 17,      ,               1,  0,  6,  0,   8,   0,   1,   6,   6,   25
 4676, 2² 7 167,      ,               2,  1,  0,  1,   9,   1,   2,   7,   7,   26
 4677, 3 1559,        radical,        0,  2,  1,  2,   10,  2,   3,   8,   8,   27
 4678, 2 2339,        radical,        1,  3,  2,  3,   11,  3,   4,   9,   9,   28
 4679, 4679,          prime,          2,  4,  3,  4,   12,  4,   5,   10,  10,  29
 4680, 2³ 3² 5 13,    ,               0,  0,  4,  5,   0,   5,   6,   11,  11,  30
 4681, 31 151,        radical,        1,  1,  5,  6,   1,   6,   7,   12,  12,  0
 4682, 2 2341,        radical,        2,  2,  6,  7,   2,   7,   8,   13,  13,  1
 4683, 3 7 223,       radical,        0,  3,  0,  8,   3,   8,   9,   14,  14,  2
 4684, 2² 1171,       ,               1,  4,  1,  9,   4,   9,   10,  15,  15,  3
 4685, 5 937,         radical,        2,  0,  2,  10,  5,   10,  11,  16,  16,  4
 4686, 2 3 11 71,     radical,        0,  1,  3,  0,   6,   11,  12,  17,  17,  5
 4687, 43 109,        radical,        1,  2,  4,  1,   7,   12,  13,  18,  18,  6
 4688, 2⁴ 293,        ,               2,  3,  5,  2,   8,   13,  14,  19,  19,  7
 4689, 3² 521,        ,               0,  4,  6,  3,   9,   14,  15,  20,  20,  8
 4690, 2 5 7 67,      radical,        1,  0,  0,  4,   10,  15,  16,  21,  21,  9
 4691, 4691,          prime,          2,  1,  1,  5,   11,  16,  17,  22,  22,  10
 4692, 2² 3 17 23,    ,               0,  2,  2,  6,   12,  0,   18,  0,   23,  11
 4693, 13 19²,        ,               1,  3,  3,  7,   0,   1,   0,   1,   24,  12
 4694, 2 2347,        radical,        2,  4,  4,  8,   1,   2,   1,   2,   25,  13
 4695, 3 5 313,       radical,        0,  0,  5,  9,   2,   3,   2,   3,   26,  14
 4696, 2³ 587,        ,               1,  1,  6,  10,  3,   4,   3,   4,   27,  15
 4697, 7 11 61,       radical,        2,  2,  0,  0,   4,   5,   4,   5,   28,  16
 4698, 2 3⁴ 29,       ,               0,  3,  1,  1,   5,   6,   5,   6,   0,   17
 4699, 37 127,        radical,        1,  4,  2,  2,   6,   7,   6,   7,   1,   18
 4700, 2² 5² 47,      ,               2,  0,  3,  3,   7,   8,   7,   8,   2,   19
 4701, 3 1567,        radical,        0,  1,  4,  4,   8,   9,   8,   9,   3,   20
 4702, 2 2351,        radical,        1,  2,  5,  5,   9,   10,  9,   10,  4,   21
 4703, 4703,          prime,          2,  3,  6,  6,   10,  11,  10,  11,  5,   22
 4704, 2⁵ 3 7²,       ,               0,  4,  0,  7,   11,  12,  11,  12,  6,   23
 4705, 5 941,         radical,        1,  0,  1,  8,   12,  13,  12,  13,  7,   24
 4706, 2 13 181,      radical,        2,  1,  2,  9,   0,   14,  13,  14,  8,   25
 4707, 3² 523,        ,               0,  2,  3,  10,  1,   15,  14,  15,  9,   26
 4708, 2² 11 107,     ,               1,  3,  4,  0,   2,   16,  15,  16,  10,  27
 4709, 17 277,        radical,        2,  4,  5,  1,   3,   0,   16,  17,  11,  28
 4710, 2 3 5 157,     radical,        0,  0,  6,  2,   4,   1,   17,  18,  12,  29
 4711, 7 673,         radical,        1,  1,  0,  3,   5,   2,   18,  19,  13,  30
 4712, 2³ 19 31,      ,               2,  2,  1,  4,   6,   3,   0,   20,  14,  0
 4713, 3 1571,        radical,        0,  3,  2,  5,   7,   4,   1,   21,  15,  1
 4714, 2 2357,        radical,        1,  4,  3,  6,   8,   5,   2,   22,  16,  2
 4715, 5 23 41,       radical,        2,  0,  4,  7,   9,   6,   3,   0,   17,  3
 4716, 2² 3² 131,     ,               0,  1,  5,  8,   10,  7,   4,   1,   18,  4
 4717, 53 89,         radical,        1,  2,  6,  9,   11,  8,   5,   2,   19,  5
 4718, 2 7 337,       radical,        2,  3,  0,  10,  12,  9,   6,   3,   20,  6
 4719, 3 11² 13,      ,               0,  4,  1,  0,   0,   10,  7,   4,   21,  7
 4720, 2⁴ 5 59,       ,               1,  0,  2,  1,   1,   11,  8,   5,   22,  8
 4721, 4721,          prime,          2,  1,  3,  2,   2,   12,  9,   6,   23,  9
 4722, 2 3 787,       radical,        0,  2,  4,  3,   3,   13,  10,  7,   24,  10
 4723, 4723,          prime,          1,  3,  5,  4,   4,   14,  11,  8,   25,  11
 4724, 2² 1181,       ,               2,  4,  6,  5,   5,   15,  12,  9,   26,  12
 4725, 3³ 5² 7,       ,               0,  0,  0,  6,   6,   16,  13,  10,  27,  13
 4726, 2 17 139,      radical,        1,  1,  1,  7,   7,   0,   14,  11,  28,  14
 4727, 29 163,        radical,        2,  2,  2,  8,   8,   1,   15,  12,  0,   15
 4728, 2³ 3 197,      ,               0,  3,  3,  9,   9,   2,   16,  13,  1,   16
 4729, 4729,          prime,          1,  4,  4,  10,  10,  3,   17,  14,  2,   17
 4730, 2 5 11 43,     radical,        2,  0,  5,  0,   11,  4,   18,  15,  3,   18
 4731, 3 19 83,       radical,        0,  1,  6,  1,   12,  5,   0,   16,  4,   19
 4732, 2² 7 13²,      ,               1,  2,  0,  2,   0,   6,   1,   17,  5,   20
 4733, 4733,          prime,          2,  3,  1,  3,   1,   7,   2,   18,  6,   21
 4734, 2 3² 263,      ,               0,  4,  2,  4,   2,   8,   3,   19,  7,   22
 4735, 5 947,         radical,        1,  0,  3,  5,   3,   9,   4,   20,  8,   23
 4736, 2⁷ 37,         ,               2,  1,  4,  6,   4,   10,  5,   21,  9,   24
 4737, 3 1579,        radical,        0,  2,  5,  7,   5,   11,  6,   22,  10,  25
 4738, 2 23 103,      radical,        1,  3,  6,  8,   6,   12,  7,   0,   11,  26
 4739, 7 677,         radical,        2,  4,  0,  9,   7,   13,  8,   1,   12,  27
 4740, 2² 3 5 79,     ,               0,  0,  1,  10,  8,   14,  9,   2,   13,  28
 4741, 11 431,        radical,        1,  1,  2,  0,   9,   15,  10,  3,   14,  29
 4742, 2 2371,        radical,        2,  2,  3,  1,   10,  16,  11,  4,   15,  30
 4743, 3² 17 31,      ,               0,  3,  4,  2,   11,  0,   12,  5,   16,  0
 4744, 2³ 593,        ,               1,  4,  5,  3,   12,  1,   13,  6,   17,  1
 4745, 5 13 73,       radical,        2,  0,  6,  4,   0,   2,   14,  7,   18,  2
 4746, 2 3 7 113,     radical,        0,  1,  0,  5,   1,   3,   15,  8,   19,  3
 4747, 47 101,        radical,        1,  2,  1,  6,   2,   4,   16,  9,   20,  4
 4748, 2² 1187,       ,               2,  3,  2,  7,   3,   5,   17,  10,  21,  5
 4749, 3 1583,        radical,        0,  4,  3,  8,   4,   6,   18,  11,  22,  6
 4750, 2 5³ 19,       ,               1,  0,  4,  9,   5,   7,   0,   12,  23,  7
 4751, 4751,          prime,          2,  1,  5,  10,  6,   8,   1,   13,  24,  8
 4752, 2⁴ 3³ 11,      ,               0,  2,  6,  0,   7,   9,   2,   14,  25,  9
 4753, 7² 97,         ,               1,  3,  0,  1,   8,   10,  3,   15,  26,  10
 4754, 2 2377,        radical,        2,  4,  1,  2,   9,   11,  4,   16,  27,  11
 4755, 3 5 317,       radical,        0,  0,  2,  3,   10,  12,  5,   17,  28,  12
 4756, 2² 29 41,      ,               1,  1,  3,  4,   11,  13,  6,   18,  0,   13
 4757, 67 71,         radical,        2,  2,  4,  5,   12,  14,  7,   19,  1,   14
 4758, 2 3 13 61,     radical,        0,  3,  5,  6,   0,   15,  8,   20,  2,   15
 4759, 4759,          prime,          1,  4,  6,  7,   1,   16,  9,   21,  3,   16
 4760, 2³ 5 7 17,     ,               2,  0,  0,  8,   2,   0,   10,  22,  4,   17
 4761, 3² 23²,        radical power,  0,  1,  1,  9,   3,   1,   11,  0,   5,   18
